Timestamp,How old are you?,What is your gender identity?,In which industry do you currently work?,What is your current job level?,How satisfied are you with your current work-life balance?,How often do you work remotely?,How would you rate your current job-related stress level?,What aspect of your job contribute most to your overall satisfaction?,"On a scale of 1 to 10, how happy are you with your current job?","On a scale of 1 to 10, how would you rate your level of happiness ? (taking into account your personal life, professional life, etc.. ) "
1/9/2024 22:30:46,25-34,Female,Business,Entry-level,Very satisfied,Everyday,3,Recognition and appreciation,5,
1/9/2024 22:36:34,25-34,Female,Technology,Entry-level,Very satisfied,Everyday,4,Compensation and benefits,6,8
1/10/2024 9:56:00,25-34,Female,Technology,Entry-level,Very dissatisfied,Everyday,5,all of them!,3,3
1/10/2024 9:55:41,25-34,Female,Business,Entry-level,Dissatisfied,Everyday,4,Work relationships,4,6
1/10/2024 10:36:51,35-44,Male,Healthcare,Senior-level,Dissatisfied,Never,3,Opportunities for growth,4,8
1/10/2024 11:20:02,25-34,Female,Finance,Mid-level,Neutral,A few times a week,4,Compensation and benefits,6,7
1/10/2024 11:25:30,25-34,Male,Technology,Entry-level,Neutral,A few times a week,2,Work relationships,5,8
1/10/2024 11:31:49,25-34,Female,Healthcare,Mid-level,Neutral,Never,4,Job fit and skills match,5,5
1/10/2024 11:55:31,25-34,Female,Education,Mid-level,Neutral,Everyday,3,Autonomy and empowerment,7,8
1/10/2024 12:17:35,25-34,Male,Education,Entry-level,Neutral,A few times a week,3,Opportunities for growth,7,7
1/10/2024 12:27:22,25-34,Female,Education,Entry-level,Satisfied,Everyday,2,Work-Life Balance,7,9
1/10/2024 12:50:02,25-34,Female,Education,Mid-level,Satisfied,Everyday,2,Opportunities for growth,6,6
1/10/2024 12:58:38,25-34,Male,Business,Mid-level,Satisfied,A few times a week,3,Recognition and appreciation,7,8
1/10/2024 14:03:51,25-34,Female,Insurance Sector ,Entry-level,Satisfied,A few times a week,3,Work relationships,8,8
1/10/2024 14:07:25,18-24,Male,Technology,Mid-level,Very satisfied,Everyday,2,Work-Life Balance,9,8
1/10/2024 14:20:39,35-44,Female,Finance,Senior-level,Neutral,A few times a week,4,Opportunities for growth,5,6
1/10/2024 15:00:28,25-34,Female,Finance,Mid-level,Very satisfied,A few times a week,4,Compensation and benefits,8,10
1/10/2024 15:22:58,25-34,Female,Finance,Entry-level,Dissatisfied,Never,3,Work relationships,3,3
1/10/2024 15:27:36,18-24,Male,Technology,Executive/Leadership,Satisfied,A few times a month,3,Meaningful work,7,6
1/10/2024 15:44:01,25-34,Female,Education,Entry-level,Satisfied,Everyday,4,Compensation and benefits,7,8
1/10/2024 15:53:08,25-34,Male,Construction,Entry-level,Satisfied,A few times a month,4,Job fit and skills match,8,6
1/10/2024 16:09:41,25-34,Female,Education,Senior-level,Satisfied,A few times a month,3,Work relationships,7,7
1/10/2024 16:10:52,25-34,Female,Finance,Mid-level,Very satisfied,Once a week,2,Recognition and appreciation,9,9
1/10/2024 16:31:08,55-64,Male,Technology,Mid-level,Satisfied,A few times a week,5,Compensation and benefits,8,8
1/10/2024 17:12:08,25-34,Female,Technology,Mid-level,Satisfied,Everyday,3,Work-Life Balance,7,8
1/10/2024 17:44:39,25-34,Female,Science,Senior-level,Dissatisfied,Once a week,2,Opportunities for growth,5,5
1/10/2024 17:46:10,35-44,Female,Supply Chain,Mid-level,Dissatisfied,Once a week,5,Work-Life Balance,5,7
1/10/2024 17:47:20,25-34,Female,Technology,Mid-level,Very satisfied,A few times a week,3,Company culture,8,9
1/10/2024 17:58:05,25-34,Female,Construction sector,Mid-level,Satisfied,Once a week,4,Opportunities for growth,3,7
1/10/2024 18:56:36,18-24,Female,Technology,Entry-level,Neutral,Never,4,Work relationships,5,8
1/10/2024 19:05:23,18-24,Female,Education,Mid-level,Satisfied,Everyday,3,Meaningful work,8,9
1/10/2024 19:13:03,25-34,Female,Automotive,Entry-level,Dissatisfied,A few times a week,1,Opportunities for growth,2,4
1/10/2024 22:36:27,25-34,Female,Healthcare,Entry-level,Dissatisfied,Never,5,Job fit and skills match,7,4
1/11/2024 0:18:52,25-34,Female,Education,Senior-level,Satisfied,Everyday,4,Work-Life Balance,7,8
1/11/2024 12:37:42,25-34,Female,Healthcare,Mid-level,Satisfied,A few times a month,1,Work relationships,5,6
1/11/2024 12:55:30,25-34,Female,Technology,Mid-level,Neutral,Everyday,4,Work-Life Balance,6,7
1/11/2024 13:07:28,35-44,Female,I do not work currently .,study ,Satisfied,Everyday,2,Compensation and benefits,4,6
1/11/2024 16:23:10,35-44,Male,Finance,Entry-level,Dissatisfied,A few times a week,5,Work relationships,3,8
1/11/2024 17:25:03,25-34,Male,Healthcare,Mid-level,Satisfied,A few times a week,3,Work-Life Balance,7,8
1/11/2024 18:08:47,35-44,Male,Technology,Entry-level,Neutral,Everyday,4,Work-Life Balance,4,4
1/11/2024 18:14:24,25-34,Female,Business,Mid-level,Dissatisfied,Never,2,Company culture,6,9
1/12/2024 9:02:48,25-34,Male,Education,Mid-level,Satisfied,Everyday,2,Work-Life Balance,8,8
1/13/2024 0:07:47,55-64,Female,Insurance,Executive/Leadership,Neutral,A few times a week,4,Compensation and benefits,7,7
1/13/2024 10:13:45,25-34,Male,hospitality,Entry-level,Neutral,Never,3,Opportunities for growth,8,7
1/13/2024 14:28:39,25-34,Male,Technology,Mid-level,Satisfied,A few times a week,4,Autonomy and empowerment,8,9
1/14/2024 2:09:03,45-54,Female,Technology,Senior-level,Satisfied,A few times a week,4,Meaningful work,7,8